"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 16 16:57:14 GMT+07:00 2025","Mon Jun 16 16:57:15 GMT+07:00 2025","770","","com.example.CourierCreationTest","","com.example.CourierCreationTest","createCourierWithoutPassword","createCourierWithoutPassword","Создание курьера без пароля"
"passed","Mon Jun 16 16:57:22 GMT+07:00 2025","Mon Jun 16 16:57:22 GMT+07:00 2025","789","","com.example.CourierLoginTest","","com.example.CourierLoginTest","loginWithValidCredentials","loginWithValidCredentials","Успешная авторизация курьера"
"passed","Mon Jun 16 16:57:15 GMT+07:00 2025","Mon Jun 16 16:57:18 GMT+07:00 2025","3041","","com.example.CourierCreationTest","","com.example.CourierCreationTest","createCourierSuccess","createCourierSuccess","Успешное создание курьера"
"passed","Mon Jun 16 16:58:28 GMT+07:00 2025","Mon Jun 16 16:58:32 GMT+07:00 2025","3691","","com.example.OrderListTest","","com.example.OrderListTest","getOrdersListReturnsOrdersArray","getOrdersListReturnsOrdersArray","Проверка получения списка заказов"
"passed","Mon Jun 16 16:58:27 GMT+07:00 2025","Mon Jun 16 16:58:28 GMT+07:00 2025","765","","com.example.CreateOrderTest","","com.example.CreateOrderTest","createOrderWithColors[Без указания цвета]","createOrderWithColors[Без указания цвета]","Создание заказа с разными цветами"
"passed","Mon Jun 16 16:58:26 GMT+07:00 2025","Mon Jun 16 16:58:27 GMT+07:00 2025","814","","com.example.CreateOrderTest","","com.example.CreateOrderTest","createOrderWithColors[Серый самокат]","createOrderWithColors[Серый самокат]","Создание заказа с разными цветами"
"passed","Mon Jun 16 16:57:18 GMT+07:00 2025","Mon Jun 16 16:57:21 GMT+07:00 2025","3141","","com.example.CourierCreationTest","","com.example.CourierCreationTest","createDuplicateCourier","createDuplicateCourier","Нельзя создать двух одинаковых курьеров"
"passed","Mon Jun 16 16:57:22 GMT+07:00 2025","Mon Jun 16 16:57:23 GMT+07:00 2025","725","","com.example.CourierLoginTest","","com.example.CourierLoginTest","loginWithInvalidCredentials","loginWithInvalidCredentials","Авторизация с неверными данными"
"passed","Mon Jun 16 16:58:25 GMT+07:00 2025","Mon Jun 16 16:58:26 GMT+07:00 2025","1244","","com.example.CreateOrderTest","","com.example.CreateOrderTest","createOrderWithColors[Чёрный самокат]","createOrderWithColors[Чёрный самокат]","Создание заказа с разными цветами"
"passed","Mon Jun 16 16:57:11 GMT+07:00 2025","Mon Jun 16 16:57:14 GMT+07:00 2025","3074","","com.example.CourierCreationTest","","com.example.CourierCreationTest","createCourierWithoutLogin","createCourierWithoutLogin","Создание курьера без логина"
"passed","Mon Jun 16 16:57:23 GMT+07:00 2025","Mon Jun 16 16:58:24 GMT+07:00 2025","60691","","com.example.CourierLoginTest","","com.example.CourierLoginTest","loginWithMissingField","loginWithMissingField","Авторизация без пароля"
"passed","Mon Jun 16 16:58:27 GMT+07:00 2025","Mon Jun 16 16:58:27 GMT+07:00 2025","758","","com.example.CreateOrderTest","","com.example.CreateOrderTest","createOrderWithColors[Два цвета]","createOrderWithColors[Два цвета]","Создание заказа с разными цветами"
